"datetime","Fuel Type","Volume"
2022-01-01 12:00:00,"OTHER",270.684112414784
2022-01-01 12:00:00,"SOLAR",92.3717761729492
2022-01-01 12:00:00,"WIND",1504.88211409185
2022-01-01 13:00:00,"COAL",1675.10259594387
2022-01-01 13:00:00,"DUAL FUEL",56.1943633736504
2022-01-01 13:00:00,"ENERGY STORAGE",-0.305890055762397
2022-01-01 13:00:00,"GAS",7063.05455104311
2022-01-01 13:00:00,"HYDRO",182.67025906437
2022-01-01 13:00:00,"OTHER",268.76641831451
2022-01-01 13:00:00,"SOLAR",96.104775498112
2022-01-01 13:00:00,"WIND",1459.83894226188
2022-01-01 14:00:00,"COAL",1677.14470033434
2022-01-01 14:00:00,"DUAL FUEL",68.6075501208835
2022-01-01 14:00:00,"ENERGY STORAGE",-0.304334494272868
2022-01-01 14:00:00,"GAS",7063.47976041668
2022-01-01 14:00:00,"HYDRO",133.424817363719
2022-01-01 14:00:00,"OTHER",267.409635118908
2022-01-01 14:00:00,"SOLAR",62.2065544508232
2022-01-01 14:00:00,"WIND",1436.5074193274
2022-01-01 15:00:00,"COAL",1676.89781502618
2022-01-01 15:00:00,"DUAL FUEL",60.2732411787245
2022-01-01 15:00:00,"ENERGY STORAGE",-0.296112240685357
2022-01-01 15:00:00,"GAS",6993.74428350233
2022-01-01 15:00:00,"HYDRO",178.194533821527
2022-01-01 15:00:00,"OTHER",269.821247613165
2022-01-01 15:00:00,"SOLAR",21.2146107270983
2022-01-01 15:00:00,"WIND",1348.92666041196
2022-01-01 16:00:00,"COAL",1678.31625829061
2022-01-01 16:00:00,"DUAL FUEL",78.1587249289619
2022-01-01 16:00:00,"ENERGY STORAGE",-0.295223348405626
2022-01-01 16:00:00,"GAS",7171.38060241567
2022-01-01 16:00:00,"HYDRO",187.396586153176
2022-01-01 16:00:00,"OTHER",272.942908718983
2022-01-01 16:00:00,"SOLAR",0.462833316243357
2022-01-01 16:00:00,"WIND",1507.48376537947
2022-01-01 17:00:00,"COAL",1676.4547050137
2022-01-01 17:00:00,"DUAL FUEL",77.0806255552504
2022-01-01 17:00:00,"ENERGY STORAGE",-0.31100118637085
2022-01-01 17:00:00,"GAS",7491.44715489507
2022-01-01 17:00:00,"HYDRO",186.696472734743
2022-01-01 17:00:00,"OTHER",279.535355901718
2022-01-01 17:00:00,"SOLAR",0
2022-01-01 17:00:00,"WIND",1403.89554294904
2022-01-01 18:00:00,"COAL",1678.90981742011
2022-01-01 18:00:00,"DUAL FUEL",77.1205679533217
2022-01-01 18:00:00,"ENERGY STORAGE",-0.315390092002021
2022-01-01 18:00:00,"GAS",7408.24065782732
2022-01-01 18:00:00,"HYDRO",151.000640650325
2022-01-01 18:00:00,"OTHER",280.101431303554
2022-01-01 18:00:00,"SOLAR",0
2022-01-01 18:00:00,"WIND",1415.70616185041
2022-01-01 19:00:00,"COAL",1676.96803585476
2022-01-01 19:00:00,"DUAL FUEL",77.2205058585273
2022-01-01 19:00:00,"ENERGY STORAGE",-0.313501195907593
2022-01-01 19:00:00,"GAS",7234.03493047423
2022-01-01 19:00:00,"HYDRO",159.633920074569
2022-01-01 19:00:00,"OTHER",280.881442540487
2022-01-01 19:00:00,"SOLAR",0
2022-01-01 19:00:00,"WIND",1504.27002342833
2022-01-01 20:00:00,"COAL",1678.03275946723
2022-01-01 20:00:00,"DUAL FUEL",67.7839927249485
2022-01-01 20:00:00,"ENERGY STORAGE",-0.313556751675076
2022-01-01 20:00:00,"GAS",7118.10735913164
2022-01-01 20:00:00,"HYDRO",138.2603465447
2022-01-01 20:00:00,"OTHER",279.832581750552
2022-01-01 20:00:00,"SOLAR",0
2022-01-01 20:00:00,"WIND",1542.94917690416
2022-01-01 21:00:00,"COAL",1677.4004862637
2022-01-01 21:00:00,"DUAL FUEL",48.9016564008925
2022-01-01 21:00:00,"ENERGY STORAGE",-0.964611410564846
2022-01-01 21:00:00,"GAS",6902.75897250169
2022-01-01 21:00:00,"HYDRO",169.241352512572
2022-01-01 21:00:00,"OTHER",278.550532931752
2022-01-01 21:00:00,"SOLAR",0
2022-01-01 21:00:00,"WIND",1542.66784423537
